                  City  Temperature  Humidity  Weather
0            Hyderabad      310.150        47   Clouds
1                Patna      314.150        32     Haze
2             Agartala      304.150        74     Mist
3               Kohima      307.150        56   Clouds
4           Chandigarh      318.632         7    Clear
5               Ranchi      310.150        32     Haze
6   Thiruvananthapuram      304.150        70     Haze
7               Mumbai      307.650        63    Smoke
8          Bhubaneswar      309.150        63     Haze
9           Chandigarh      318.632         7    Clear
10              Panaji      305.150        66   Clouds
11         Gandhinagar      314.150        30    Clear
12              Dispur      306.150        75     Haze
13           Amaravati      313.150        45   Clouds
14            Dehradun      311.150        25   Clouds
15              Shimla      310.232        11    Clear
16              Bhopal      316.150        21   Clouds
17              Jaipur      318.150         7     Haze
18              Aizawl      304.150        62     Haze
19            Srinagar      294.932        31    Clear
20             Kolkata      309.150        60     Haze
21              Raipur      314.150        32   Clouds
22             Chennai      314.150        34   Clouds
23             Lucknow      313.150        28     Haze
24             Gangtok      296.432        44   Clouds
25            Itanagar      300.150        94  Drizzle
26           Bangalore      303.900        45   Clouds
27            Shillong      306.150        75     Haze
28              Imphal      306.432        43   Clouds
